Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,description,target
67,male,2,own,little,little,1169,6,radio/TV,"A 67 year old man requested a loan of 1169 for a TV, he is skilled, has little savings, his own home and has requested a loan for 6 months.",bad risk
22,female,2,own,little,moderate,5951,48,radio/TV,A 22 year old woman requested a loan of 5951 euros for 48 months to buy a radio or television. She is a skilled worker and owns her own home. She has a small savings account and a moderate current account.,good risk
49,male,1,own,little,little,2096,12,education,"The client is a 49 year old male with little savings, who is unskilled and resident, requesting a loan of 2096 for education with a duration of 12 months and owns his own home.",bad risk
45,male,2,free,little,little,7882,42,furniture/equipment,"The client is a 45-year-old male with a high-skilled job, living in a free accommodation, who has little savings and current accounts. He is requesting a 7882-euro loan for 42 months to purchase furniture/equipment.",good risk
53,male,2,free,little,little,4870,24,car,"A male, 53 years old, with a high qualification job, has requested a 4870€ loan for a car. He has little savings and current accounts and lives in a free accommodation. The loan will last 24 months.",good risk
35,male,1,free,little,little,9055,36,education,A 35 year old man with an unskilled job and little savings who has requested a 9055€ loan for 36 months for education.,bad risk
53,male,2,own,quite rich,little,2835,24,furniture/equipment,"The customer is a 53 year old male with a high savings account, a small checking account, a loan of 2835 euros for 24 months to buy furniture.",good risk
35,male,3,rent,little,moderate,6948,36,car,"A 35 year old male with a highly skilled job and moderate current account is asking for a 6948 loan for a car, with a 36 month duration.",good risk
61,male,1,own,rich,little,3059,12,radio/TV,"The client is a 61 year old male, with a low current account balance and a high savings account balance. He has requested a loan of 3059 for a 12 month period to purchase a radio/TV. He is an unskilled resident with his own home.",good risk
28,male,3,own,little,moderate,5234,30,car,A 28 year old man who owns his own home has applied for a car loan of 5234 euros for 30 months. The risk of default is low.,good risk
25,female,2,rent,little,moderate,1295,12,car,A 25 year old female with moderate current accounts and a little savings account is requesting a loan of 1295€ for a car for 12 months. She is skilled and renting.,good risk
24,female,2,rent,little,little,4308,48,business,"The risk of default is high for this 24 year old woman, who is a skilled worker, who lives in a rented home and has little savings and a small current account. She requested a loan of 4308 for her business and the term of the loan is 48 months.",bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,"A 22-year-old female with a moderate current account, little savings and a skilled job is asking for a loan of 1567 for a radio/TV. She owns her own home and the loan will last 12 months.",good risk
60,male,1,own,little,little,1199,24,car,"A male with a low savings account and a little current account requests a 1199 credit for a car with a 24 months duration, being unskilled and resident and owning his house.",bad risk
28,female,2,rent,little,little,1403,15,car,"A 28 year old woman with a little savings and current account is requesting a 1403 loan for a car, she is skilled and lives in a rented house.",good risk
32,female,1,own,moderate,little,1282,24,radio/TV,"A woman of 32 years, resident, with a moderate savings account and little current account, wants a loan of 1282 for a radio/TV for 24 months.",good risk
53,male,2,own,little,little,2424,24,radio/TV,The credit risk of a 53 year old male with a skilled job who owns his home and wants to buy a radio/TV for 2424 over 24 months is average.,good risk
25,male,2,own,little,little,8072,30,business,A 25 year old male who is skilled is applying for a 8072 loan with a 30 month duration for business purposes. He owns his own home and has a little amount of savings and current accounts.,good risk
44,female,3,free,little,moderate,12579,24,car,A female with a high skill job and no accommodation cost has requested a loan of 12579 to buy a car. The loan will last for 24 months and she has a low savings account.,good risk
31,male,2,own,quite rich,little,3430,24,radio/TV,"The risk of the loan is low, because the person is skilled, has a own house, a quite rich saving account, a little checking account, a low loan amount and a short loan term.",good risk
48,male,2,own,little,little,2134,9,car,A 48 year old man with a low balance in his current account requested a loan of 2134 euros for a car with a 9 month duration. He is skilled and has his own home.,good risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,"The person is a male, 44 years old, skilled worker, with a high saving account, but with a low checking account, he requested a 2647 loan for a TV/Radio, with a 6 months duration.",good risk
48,male,1,rent,little,little,2241,10,car,A male with an unskilled job and a small amount of savings has requested a car loan of $2241 for 10 months.,bad risk
44,male,2,own,moderate,moderate,1804,12,car,"The client is a 44 year old male, with a highly skilled job, who owns his house and has moderate savings. He requested a loan of 1804 for a car, with a 12 month duration.",good risk
26,male,2,own,little,little,2069,10,furniture/equipment,"The person is a 26-year-old man with a skilled job who owns his home. He has a small amount in savings and current accounts, and is applying for a €2,069 loan for furniture/equipment, with a 10-month term.",good risk
